age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,age_group
35,services,married,2,0,5,0,0,cellular,30,7,0.04,2,-1,0,unknown,0,25-50yrs
35,management,single,3,0,2486,1,0,cellular,25,5,0.07,1,-1,0,unknown,0,25-50yrs
35,blue-collar,divorced,1,0,0,0,0,unknown,12,6,0.06,1,-1,0,unknown,0,25-50yrs
48,housemaid,single,1,0,46,0,0,cellular,3,8,0.03,2,180,1,failure,1,25-50yrs
38,blue-collar,married,1,0,668,0,0,unknown,8,5,0.07,1,-1,0,unknown,0,25-50yrs
51,services,divorced,2,0,65,0,1,cellular,15,7,0.24,1,-1,0,unknown,1,above 50yrs
33,blue-collar,married,2,0,529,1,0,unknown,28,5,0.06,3,-1,0,unknown,0,25-50yrs
46,management,married,1,0,-292,1,0,telephone,17,11,0.03,1,-1,0,unknown,0,25-50yrs
25,admin.,single,2,0,122,1,0,cellular,7,5,0.13,2,-1,0,unknown,1,under 25yrs
40,technician,single,3,0,-89,1,0,unknown,28,5,0.02,4,-1,0,unknown,0,25-50yrs
42,blue-collar,married,2,0,179,1,0,cellular,17,11,0.03,1,-1,0,unknown,0,25-50yrs
48,services,married,2,0,515,1,0,telephone,20,4,0.0,5,-1,0,unknown,0,25-50yrs
33,technician,married,2,0,1234,0,0,cellular,19,11,0.03,1,10,1,failure,0,25-50yrs
48,management,single,3,0,830,0,0,cellular,25,8,0.27,4,-1,0,unknown,1,25-50yrs
49,unemployed,married,1,0,50,0,0,cellular,26,8,0.05,2,-1,0,unknown,0,25-50yrs
37,technician,married,0,0,189,0,0,cellular,1,10,0.07,1,107,2,success,1,25-50yrs
27,entrepreneur,single,2,0,2,1,0,cellular,17,7,0.01,1,-1,0,unknown,0,25-50yrs
28,admin.,single,2,0,428,1,1,unknown,27,5,0.03,2,-1,0,unknown,0,25-50yrs
44,unknown,married,0,0,1317,0,0,telephone,31,7,0.12,6,-1,0,unknown,0,25-50yrs
30,admin.,single,2,0,910,0,0,cellular,21,11,0.08,2,-1,0,unknown,0,25-50yrs
